COMPANY_ID,EMPLOYEE_ID,BSB,ACCOUNT,AMOUNT_CENTS,CURRENCY,PAY_DATE
1,E-709,062000,12345678,50000,AUD,2025-09-03
1,E-484,062000,12345678,50000,AUD,2025-09-03
1,E-115,062000,12345678,50000,AUD,2025-09-03
1,E-80,062000,12345678,50000,AUD,2025-09-03
1,E-511,062000,12345678,50000,AUD,2025-09-03
1,E-697,062000,12345678,50000,AUD,2025-09-03
1,E-27,062000,12345678,50000,AUD,2025-09-03
1,E-384,062000,12345678,50000,AUD,2025-09-03
1,E-200,062000,12345678,50000,AUD,2025-09-03
1,E-232,062000,12345678,50000,AUD,2025-09-03
1,E-12,062000,12345678,50000,AUD,2025-09-03
1,E-676,062000,12345678,50000,AUD,2025-09-03
1,E-137,062000,12345678,50000,AUD,2025-09-03
1,E-474,062000,12345678,50000,AUD,2025-09-03
1,E-908,062000,12345678,50000,AUD,2025-09-03
1,E-562,062000,12345678,50000,AUD,2025-09-03
1,E-507,062000,12345678,50000,AUD,2025-09-03
1,E-420,062000,12345678,50000,AUD,2025-09-03
1,E-983,062000,12345678,50000,AUD,2025-09-03
1,E-566,062000,12345678,50000,AUD,2025-09-03
1,E-98,062000,12345678,50000,AUD,2025-09-03
1,E-384,062000,12345678,50000,AUD,2025-09-03
1,E-92,062000,12345678,50000,AUD,2025-09-03
1,E-253,062000,12345678,50000,AUD,2025-09-03
1,E-350,062000,12345678,50000,AUD,2025-09-03
1,E-97,062000,12345678,50000,AUD,2025-09-03
1,E-338,062000,12345678,50000,AUD,2025-09-03
1,E-135,062000,12345678,50000,AUD,2025-09-03
1,E-932,062000,12345678,50000,AUD,2025-09-03
1,E-172,062000,12345678,250000,AUD,2025-09-03
1,E-32,062000,12345678,50000,AUD,2025-09-03
1,E-149,062000,12345678,50000,AUD,2025-09-03
1,E-107,062000,12345678,50000,AUD,2025-09-03
1,E-520,062000,12345678,50000,AUD,2025-09-03
1,E-957,062000,12345678,50000,AUD,2025-09-03
1,E-310,062000,12345678,50000,AUD,2025-09-03
1,E-286,062000,12345678,50000,AUD,2025-09-03
1,E-746,062000,12345678,50000,AUD,2025-09-03
1,E-259,062000,12345678,50000,AUD,2025-09-03
1,E-715,062000,12345678,50000,AUD,2025-09-03
1,E-48,062000,12345678,50000,AUD,2025-09-03
